위험ID,자산명,위험등급,위험도,처리전략,상세방안,구현일정,담당자,예산(만원),예상효과,승인상태,승인자,승인일자
RISK-011,현대차 공급계약서(2025),중 (Medium),33.6,위험 감소 (Risk Reduction),"1) 계약정보 암호화
2) 협력업체 보안 관리 강화
3) 계약서 접근권한 재정비",2025.06.30 ~ 2025.08.15,구매팀 신정현,80,위험도 33.6 → 12.0 (감소율 64%),승인,이성영,2025.06.14
RISK-012,월별 재무제표(2025년),중 (Medium),36.0,위험 감소 (Risk Reduction),"1) 재무정보 접근권한 최소화
2) 재무데이터 암호화
3) 재무시스템 접근 모니터링",2025.07.01 ~ 2025.08.30,재경팀 천성웅,100,위험도 36.0 → 13.0 (감소율 64%),검토중,-,-
RISK-013,QMS 품질관리시스템,중 (Medium),43.2,위험 감소 (Risk Reduction),"1) 품질시스템 보안패치 정기 적용
2) 품질데이터 접근통제 강화
3) 품질시스템 백업 강화",2025.06.20 ~ 2025.08.31,품질경영팀 임철재,200,위험도 43.2 → 15.5 (감소율 64%),승인,이성영,2025.06.15
RISK-014,HRM 인사관리시스템,중 (Medium),36.0,위험 감소 (Risk Reduction),"1) 급여데이터 암호화 강화
2) 인사정보 접근권한 최소화
3) 급여시스템 접근 모니터링",2025.07.10 ~ 2025.09.15,노무팀 김영빈,150,위험도 36.0 → 13.0 (감소율 64%),검토중,-,-
RISK-015,AutoCAD 설계시스템,하 (Low),27.0,위험 수용 (Risk Acceptance),"1) 소프트웨어 라이선스 정기 점검
2) 설계시스템 보안 설정 점검
3) 월간 모니터링 실시",2025.07.01 ~ 2025.12.31,설계팀 김종훈,30,위험도 27.0 → 25.0 (감소율 7%),승인,김종훈,2025.06.16
RISK-016,그룹웨어 시스템,하 (Low),25.2,위험 수용 (Risk Acceptance),"1) 권한 관리 정책 재수립
2) 월간 권한 점검
3) 그룹웨어 보안 설정 강화",2025.07.01 ~ 2025.12.31,전산팀 권세창,50,위험도 25.2 → 22.0 (감소율 13%),승인,권세창,2025.06.17
RISK-017,WMS 창고관리시스템,하 (Low),17.5,위험 수용 (Risk Acceptance),"1) 창고시스템 데이터 검증 절차 수립
2) 시스템 안정성 정기 점검
3) 월간 모니터링",2025.07.15 ~ 2025.12.31,물류팀 최현오,40,위험도 17.5 → 15.0 (감소율 14%),승인,최현오,2025.06.18
RISK-018,생산계획서(2025년 Q2),하 (Low),18.0,위험 수용 (Risk Acceptance),"1) 생산정보 접근통제 점검
2) 생산계획 문서 분류 체계 정비
3) 분기별 모니터링",2025.07.01 ~ 2025.12.31,생산1실 박청식,25,위험도 18.0 → 16.0 (감소율 11%),승인,박청식,2025.06.19
RISK-019,작업지시서(WO-2025-156),하 (Low),10.0,위험 수용 (Risk Acceptance),"1) 작업지시 접근통제 점검
2) 작업지시서 버전 관리
3) 월간 모니터링",2025.07.01 ~ 2025.12.31,생산2실 안준우,20,위험도 10.0 → 9.0 (감소율 10%),승인,안준우,2025.06.20
RISK-020,배송계획서(DL-2025-04),하 (Low),8.0,위험 수용 (Risk Acceptance),"1) 물류정보 보안 설정 점검
2) 배송정보 접근권한 점검
3) 월간 모니터링",2025.07.01 ~ 2025.12.31,물류팀 최현오,15,위험도 8.0 → 7.5 (감소율 6%),승인,최현오,2025.06.21
